#NAME,ADM3_R1_q25,SSD4_S18_L001_R1_001,M1_2,DEVA_BWPP7_M,SSD7_S5_L001_R1_001,M9_2,G5088,SSD8_S7_L003_R1_001,LHC14.Cone.Pool.Cones,Zloty_Stok_ZS_2,Zloty_Stok_ZS_3,SD6_S2_L002_R1_001,JM5.R1,SSD4_S18_L002_R1_001,SSD8_S7_L004_R1_001,SSD10_S12_L002_R1_001,M8_1,SD7_S4_L001_R1_001,JM6.R1,DEVA_BWPP7_G,M8_2,M4_1,JM23.R1,M6_1,M7_1,SD3_S15_L001_R1_001,G5089,M5_2,SSD6_S3_L003_R1_001,G5090,JM29.R1,KOW_3,SD6_S2_L001_R1_001,GB14.Black.Soil.Upstream.of.Weir,ADM1_R1_q25,KOW_2,DEVA_BWPP7_L,M2_2,GB14.Orange.Biofilm.Below.Weir,SSD9_S9_L002_R1_001,SSD3_S16_L003_R1_001,JM30.R1,DEVA_BWPP7_N,M4__2,SD10_S10_L001_R1_001,M2_1,M5_1,JM26.R1,DEVA_BWPP7_H,GB14.Cone.Pool.Mat,JM4.R1,M1_1,KOW_0,JM31.R1,M6_2,SSD10_S12_L003_R1_001,ADM2_R1_q25,M7_2,JM15.R1,M3_1,JM8.R1,DEVA_BWPP7_I,M3_2
K01056,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,3,0,0,0,2,0
K01057,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0
K02010,2438,895,96267,98960,8461,95792,81730,11224,119997,120892,359999,13752,35905,6989,10805,9095,107186,18006,30063,112916,108003,388,41792,407,77137,8751,70078,104515,8753,61745,54411,683,14546,162208,288579,555667,124354,95223,114661,7253,5904,49053,74900,100724,7152,95713,104621,35656,142919,128789,30954,94613,589909,32623,95191,7092,56350,77857,41356,94258,35892,135463,267
K02020,1742,476,44379,58006,3496,49892,40790,5483,48623,118913,291824,6886,21027,3424,5408,4545,46753,8018,17043,78293,47097,159,19964,118,42877,4435,35539,50501,4277,31842,26613,490,6945,61363,123554,552075,70684,43361,44327,3671,3078,23256,54563,44766,3517,42687,49973,18460,98078,46647,17507,44177,555387,15729,40749,3730,23611,43297,24313,42705,13963,89571,144
K02030,601,139,7474,11535,1478,8772,13103,1730,12216,29892,41860,2634,3052,1256,1721,1164,10282,3140,2863,12337,10349,60,3077,65,9691,1677,10781,8360,1567,8599,3586,428,2760,7896,103491,163054,15193,8049,9446,1260,1162,3152,8696,10455,962,8128,8384,3903,14752,20385,2550,7177,224940,4377,10436,856,18669,9635,4616,7207,4097,16258,36
K02040,336,66,5541,8633,600,9488,9064,965,4123,16003,30697,1258,2376,549,918,641,9197,1242,2592,12911,9286,14,2571,16,7031,711,7439,6436,751,6897,3189,23,1273,2138,52039,129877,10793,6382,2508,620,578,2977,8560,8067,541,6499,6368,3366,14314,9379,2367,5339,126182,3344,7723,546,9690,6973,3272,6567,1788,14272,10
K02060,62,16,1160,1456,96,1662,1175,158,738,786,4810,169,951,78,119,131,3327,234,760,1635,3278,3,844,12,962,90,821,1178,91,793,1170,70,223,1186,8345,9871,1496,1330,710,85,73,1035,1309,1502,76,1271,1211,815,2541,1439,774,1135,11656,629,1594,99,954,1000,933,1256,580,2276,2
K03008,0,0,25,51,0,2,65,0,0,205,64,0,9,0,6,20,0,1,3,119,2,1,4,0,0,2,97,11,0,47,8,0,0,27,102,28,41,33,5,0,4,2,24,3,10,36,3,4,201,4,2,29,13,2,12,3,33,0,92,36,349,361,0
K03010,1113,363,26381,35435,2307,34734,43501,3688,79030,104001,154828,4887,14938,2554,3678,3483,32096,5635,12636,53158,32309,103,14569,147,29564,2937,38402,29877,3116,34054,16630,562,4897,43269,155567,276623,41438,28338,62333,2853,2100,15082,34800,28640,2807,27475,29437,13907,72074,64732,13231,25959,306757,12358,27684,2635,22943,30234,16291,26801,11544,65346,114
K03013,47,43,1281,2990,137,939,3688,347,1342,6027,6129,242,361,307,339,528,1589,435,272,2735,1678,0,332,1,1128,244,3580,1349,217,3426,464,45,231,2402,9617,12868,3926,1225,1176,332,132,390,1385,1055,342,1279,1422,394,3182,2439,351,1284,13967,442,1068,373,1235,1081,1232,1308,2300,4398,14
K03015,0,3,101,189,3,9,442,20,0,499,207,7,11,7,41,43,9,26,1,350,1,0,27,0,5,3,454,32,24,306,32,0,6,77,305,99,214,90,7,27,15,8,78,32,38,78,15,5,418,51,4,80,64,38,46,28,58,4,182,118,588,911,0
K03018,1248,398,30687,39520,2441,35344,39964,3852,54815,86889,139445,4543,12340,2669,3811,3376,37861,5735,11228,53592,38673,188,11571,188,32781,3061,35632,34190,3202,31443,13966,105,4699,44409,115703,220639,47175,32225,44964,2604,2176,13148,35139,33664,2619,31990,33887,12310,69735,46367,11757,30059,237005,10509,31713,2682,18475,32716,13583,30161,8463,62639,166
